,State,Confirmed,Deaths,Recovered,Mortality Rate,Latitude,Longitude,USA_State_Code
0,Alabama,6421.0,219.0,0.0,3.41,32.318231,-86.902298,AL
1,Alaska,340.0,9.0,0.0,2.65,63.588753000000004,-154.493062,AK
2,Arizona,6534.0,275.0,0.0,4.21,34.048928000000004,-111.093731,AZ
3,Arkansas,3001.0,51.0,0.0,1.7,35.20105,-91.83183299999999,AR
4,California,43558.0,1725.0,0.0,3.96,36.778261,-119.41793200000001,CA
5,Colorado,13441.0,688.0,0.0,5.12,39.550051,-105.782067,CO
6,Connecticut,25269.0,1924.0,0.0,7.61,41.603221000000005,-73.087749,CT
7,Delaware,4034.0,120.0,0.0,2.97,38.910832,-75.52767,DE
8,District of Columbia,3841.0,178.0,0.0,4.63,38.905985,-77.03341800000001,DC
9,Florida,31532.0,1075.0,0.0,3.41,27.664827000000002,-81.515754,FL
10,Georgia,23486.0,916.0,0.0,3.9,32.157435,-82.907123,GA
11,Hawaii,606.0,14.0,0.0,2.31,19.898682,-155.66585700000002,HI
12,Idaho,1897.0,56.0,0.0,2.95,44.068202,-114.74204099999999,ID
13,Illinois,43903.0,1933.0,0.0,4.4,40.633125,-89.398528,IL
14,Indiana,15012.0,813.0,0.0,5.42,40.551217,-85.602364,IN
15,Iowa,5476.0,118.0,0.0,2.15,41.878003,-93.097702,IA
16,Kansas,3277.0,121.0,0.0,3.69,39.011902,-98.484246,KS
17,Kentucky,4085.0,208.0,0.0,5.09,37.839333,-84.27001800000001,KY
18,Louisiana,26773.0,1729.0,0.0,6.46,31.244822999999997,-92.14502399999999,LA
19,Maine,1015.0,50.0,0.0,4.93,45.253783,-69.44546899999999,ME
20,Maryland,18581.0,910.0,0.0,4.9,39.045755,-76.641271,MD
21,Massachusetts,54938.0,2899.0,0.0,5.28,42.407211,-71.382437,MA
22,Michigan,37778.0,3315.0,0.0,8.77,44.314844,-85.602364,MI
23,Minnesota,3602.0,272.0,0.0,7.55,46.729553,-94.6859,MN
24,Mississippi,5911.0,227.0,0.0,3.84,32.354668,-89.398528,MS
25,Missouri,7120.0,283.0,0.0,3.97,37.964253,-91.83183299999999,MO
26,Montana,448.0,14.0,0.0,3.12,46.879682,-110.36256599999999,MT
27,Nebraska,3028.0,56.0,0.0,1.85,41.492537,-99.901813,NE
28,Nevada,4734.0,206.0,0.0,4.35,38.802609999999994,-116.419389,NV
29,New Hampshire,1864.0,60.0,0.0,3.22,43.193852,-71.572395,NH
30,New Jersey,109038.0,5938.0,0.0,5.45,40.058324,-74.405661,NJ
31,New Mexico,2726.0,99.0,0.0,3.63,34.97273,-105.03236299999999,NM
32,New York,288045.0,22269.0,0.0,7.73,43.299428000000006,-74.217933,NY
33,North Carolina,8997.0,324.0,0.0,3.6,35.759572999999996,-79.0193,NC
34,North Dakota,867.0,17.0,0.0,1.96,47.551493,-101.002012,ND
35,Ohio,15972.0,728.0,0.0,4.56,40.417287,-82.907123,OH
36,Oklahoma,3254.0,195.0,0.0,5.99,35.007752,-97.092877,OK
37,Oregon,2311.0,92.0,0.0,3.98,43.804133,-120.554201,OR
38,Pennsylvania,42616.0,1816.0,0.0,4.26,41.203322,-77.194525,PA
39,Puerto Rico,1371.0,84.0,0.0,6.13,18.220833,-66.590149,PR
40,Rhode Island,7439.0,226.0,0.0,3.04,41.580095,-71.477429,RI
41,South Carolina,5498.0,174.0,0.0,3.16,33.836081,-81.163725,SC
42,South Dakota,2212.0,11.0,0.0,0.5,43.969515,-99.901813,SD
43,Tennessee,9667.0,181.0,0.0,1.87,35.517491,-86.58044699999999,TN
44,Texas,24967.0,651.0,0.0,2.61,31.968598999999998,-99.901813,TX
45,Utah,4123.0,41.0,0.0,0.99,39.32098,-111.093731,UT
46,Vermont,851.0,46.0,0.0,5.41,44.558803000000005,-72.577841,VT
47,Virginia,12970.0,449.0,0.0,3.46,37.431573,-78.656894,VA
48,Washington,13521.0,749.0,0.0,5.54,47.751073999999996,-120.74013899999999,WA
49,West Virginia,1055.0,34.0,0.0,3.22,38.597626,-80.454903,WV
50,Wisconsin,5912.0,272.0,0.0,4.6,43.784440000000004,-88.787868,WI
51,Wyoming,502.0,7.0,0.0,1.39,43.075967999999996,-107.29028400000001,WY
